num_layers,nheads,hcdr,best_epoch,test_ppl,test_rmsd
8,4,2,3,7.123620269977208,0.7986331447878833
7,4,2,2,7.26082965067559,0.9392056994700945
6,4,2,0,8.087926718876895,1.1447372273091347
5,4,2,1,7.414582402759731,0.9078921313567828
4,4,2,3,7.203728517974369,0.7267326070897041
3,4,2,6,6.91010001927607,0.6899037395393656
2,4,2,4,7.026488946197058,0.754501472437574
1,4,2,2,7.337271651984481,0.7826300550612711
